name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,2710785454,12378121.60696359,80
DashMap,33554432,4,1018866863,32933087.94163816,121
DashMap,33554432,8,625412015,53651722.69675695,149
DashMap,33554432,12,478583865,70111916.53943452,171
DashMap,33554432,16,443484827,75660834.27697515,211
DashMap,33554432,20,449045934,74723829.92337707,267
DashMap,33554432,24,399086424,84078109.35708502,285
DashMap,33554432,28,431038963,77845473.10169731,359
DashMap,33554432,32,387425311,86608776.05903246,369
DashMapNext,33554432,1,5380780065,6235979.094975331,160
DashMapNext,33554432,4,1990647195,16856041.635243155,237
DashMapNext,33554432,8,1167809568,28732794.215297952,278
DashMapNext,33554432,12,886395155,37854936.154293396,316
DashMapNext,33554432,16,728726863,46045279.38199528,347
DashMapNext,33554432,20,773909171,43357067.28561303,461
DashMapNext,33554432,24,893851500,37539157.23137456,639
DashMapNext,33554432,28,957353928,35049140.15456988,798
DashMapNext,33554432,32,592758240,56607280.56686314,565
