name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,3011664444,11141490.901102526,89
DashMap,33554432,4,1275759255,26301539.156774525,152
DashMap,33554432,8,713904201,47001309.07340045,170
DashMap,33554432,12,557619414,60174432.879411906,199
DashMap,33554432,16,522473459,64222270.857972905,249
DashMap,33554432,20,490865220,68357729.64317985,292
DashMap,33554432,24,386467454,86823435.33124526,276
DashMap,33554432,28,379833430,88339859.92228225,316
DashMap,33554432,32,379164359,88495743.87343721,361
DashMapNext,33554432,1,5400817333,6212843.340391494,160
DashMapNext,33554432,4,1764084990,19020870.41736011,210
DashMapNext,33554432,8,921187389,36425196.87164324,219
DashMapNext,33554432,12,665785708,50398246.15760601,238
DashMapNext,33554432,16,574425161,58413931.48863129,273
DashMapNext,33554432,20,518135430,64759964.397725135,308
DashMapNext,33554432,24,455521464,73661582.71742822,325
DashMapNext,33554432,28,416276370,80606141.54005426,347
DashMapNext,33554432,32,397753098,84359951.35856867,379
