name,total_ops,threads,spent,throughput,latency
DashMap,33554432,1,1719285759,19516495.047057506,51
DashMap,33554432,4,681326267,49248698.641468935,81
DashMap,33554432,8,381421000,87972167.23777662,90
DashMap,33554432,12,298369923,112459163.65370381,106
DashMap,33554432,16,251275197,133536586.18363355,119
DashMap,33554432,20,254979059,131596814.77999336,151
DashMap,33554432,24,244597627,137182164.89483768,174
DashMap,33554432,28,213286140,157321202.39974335,177
DashMap,33554432,32,202127686,166006115.5600426,192
DashMapNext,33554432,1,2530029756,13262465.360506218,75
DashMapNext,33554432,4,677249495,49545156.17615928,80
DashMapNext,33554432,8,356929924,94008458.64635323,85
DashMapNext,33554432,12,258499850,129804454.43198517,92
DashMapNext,33554432,16,249634152,134414429.0000833,119
DashMapNext,33554432,20,223265611,150289298.24754784,133
DashMapNext,33554432,24,220194441,152385463.71840513,157
DashMapNext,33554432,28,171125589,196080739.27505955,142
DashMapNext,33554432,32,168557351,199068339.65372416,160
